# t	policy	fitness           	C                    	ir         	bankrupts	bestLenderID	bestLenderClients	creditChannels
# interbank.py C_i0=30 D_i0=135 E_i0=15 L_i0=120 N=50 T=1000 r_i0=0.02 Φ=0.025 Χ=0.015 α=0.1 β=5 μ=0.7 ξ=0.3 ρ=0.3 ω=0.55
101	0.0	  0.679584821884071	  2664.808824741328	 0.10834795962021028	 10	                0.66	                0.08	  1
102	0.0	 0.6530949409834014	  2960.833195214546	  0.1176267982560661	 10	                 0.9	                0.08	  5
103	0.0	 0.5641781858332301	  2508.223889733985	 0.09728546436796182	 14	                0.08	                0.08	  0
104	0.0	 0.5772819494050158	 2578.6240653899986	 0.05327126841100761	  8	                0.44	                0.06	  3
105	0.0	  0.653820668472938	  2642.265299866196	 0.04962198520189478	 10	                0.18	                0.08	  2
106	0.0	 0.7727283496216062	 2751.9216159119987	0.020000000000000007	  6	                0.26	                0.06	  3
107	0.0	 0.7415827538159515	 2132.7787334699783	 0.03034275030007364	  7	                 0.9	                0.06	  5
108	0.0	 0.6204207838871961	 2439.1113244884555	 0.09092466295949327	  4	                0.16	                0.08	  3
109	0.0	 0.5449705207691737	 2286.4869600581364	 0.08365963898084365	 13	                0.66	                 0.1	  4
110	0.0	  0.663886219724789	 2446.1101748224846	 0.03149076374058986	 11	                0.02	                0.12	  2
111	0.0	 0.6722158773227056	 2545.0718939632343	 0.07892813562497913	 10	                0.82	                0.08	  2
112	0.0	 0.6437028261074279	 2912.2994350861545	 0.08552129532784464	 12	                0.38	                0.08	  4
113	0.0	 0.6253011041536068	  2798.495255045708	 0.12156182418088882	  9	                 0.9	                0.08	  5
114	0.0	0.39025600599294824	  2865.405056768868	 0.24460779786989753	 10	                 0.9	                0.08	  3
115	0.0	 0.3896797927550726	 2921.9023775503056	  0.2600579751660912	 12	                0.24	                0.06	  3
116	0.0	 0.4312109581158762	 2706.0303683456477	 0.39485293981664915	  9	                0.02	                 0.1	  2
117	0.0	0.49374638278094646	  2917.518749796934	  0.3365470630544622	 10	                0.02	                0.08	  7
118	0.0	 0.6788228551945386	 3437.2461650914024	 0.05020304432042691	 12	                0.62	                0.08	  3
119	0.0	0.47490276934820785	 3218.5247693287924	 0.37655645695999246	 12	                0.38	                0.08	  4
120	0.0	 0.5320144788858582	 3514.7971188189763	 0.18999658838540262	 14	                0.52	                0.08	  3
121	0.0	 0.7386344332044336	 3026.3538005449304	 0.09258278770004616	  6	                0.84	                0.08	  5
122	0.0	 0.6152815700806809	 3235.3581384479635	 0.17712914803917656	 12	                0.64	                0.08	  7
123	0.0	 0.6295791431415073	  3146.281520876444	   0.221547416474676	  7	                0.48	                 0.1	  4
124	0.0	 0.4682246712324779	  2946.418633461015	  0.3490540008902865	 13	                0.96	                 0.1	  2
125	0.0	 0.6678646047943154	  2860.362762454729	 0.10592491557337061	 11	                0.18	                0.06	  3
126	0.0	 0.6864931777722535	 2429.4282080486187	 0.11092913387434386	  6	                0.78	                0.08	  4
127	0.0	 0.5114448218986228	 2615.5205667744845	 0.10552977393215093	 12	                0.64	                 0.1	  3
128	0.0	 0.6611750732230277	  2970.039844476313	 0.05652576722336193	  7	                0.64	                 0.1	  2
129	0.0	 0.5556104537776805	  2970.951369293952	0.039745315283154635	  9	                0.64	                 0.1	  4
130	0.0	   0.69228966091939	  2576.959952370371	 0.02922603239433904	  9	                0.88	                0.08	  3
131	0.0	 0.6276449987660325	  2440.477324414439	 0.04286682794554652	 12	                0.92	                 0.1	  4
132	0.0	 0.6112256504101551	  2798.060679562981	 0.03585352867303289	 10	                0.12	                 0.1	  4
133	0.0	 0.5709532223798192	 2407.6659166967615	 0.10423314416571423	 11	                0.56	                0.08	  2
134	0.0	 0.5146100124540933	 2476.2737657144726	 0.11299319445047759	 13	                0.84	                0.12	  6
135	0.0	 0.6638266278561216	 2495.0809444230913	 0.02155090976012787	  8	                0.84	                 0.1	  5
136	0.0	 0.4548868079688343	  2822.925306137463	 0.37794341240416673	 10	                0.84	                 0.1	  3
137	0.0	0.43378616326677927	 2812.8267216830977	   0.722116409326959	  8	                0.84	                0.08	  2
138	0.0	  0.408174001136733	   2774.36499819564	  0.6900409889712062	  9	                0.16	                 0.1	  4
139	0.0	 0.4016223246551735	 3074.5490834971424	  0.3820789918137112	 11	                0.16	                0.12	  4
140	0.0	 0.5008437131113666	 2716.8565291323675	  0.4386541093476389	  9	                0.16	                 0.1	  4
141	0.0	0.43363589794548685	  2900.212421318535	  0.4054785155317676	 13	                0.34	                0.08	  2
142	0.0	0.24368226769168527	  3158.824733515813	 0.23089821321779783	 10	                0.34	                 0.1	  3
143	0.0	 0.3293755200632668	 2825.3558644365753	 0.35521751283029507	  8	                 0.1	                0.08	  2
144	0.0	 0.5451953510982599	  2791.586619031327	  0.4099509290519926	  9	                0.94	                 0.1	  3
145	0.0	 0.3479558969913492	  2743.794769575564	 0.15497373996317093	 12	                0.18	                 0.1	  3
146	0.0	 0.5062134378763303	  2543.530323899995	0.056456351111653154	 10	                0.18	                 0.1	  1
147	0.0	 0.6851966692346303	 2849.7768123732676	 0.12473858572570698	  6	                0.08	                0.08	  1
148	0.0	 0.5813268253307953	 2799.8284290750034	 0.07933248466327031	 12	                0.86	                0.06	  3
149	0.0	 0.5407991030084834	 2765.9955972808266	0.056098763918258514	  6	                0.66	                 0.1	  4
150	0.0	 0.5754309435788254	 2849.5549227337174	0.041288273094012166	 11	                0.86	                0.12	  4
151	0.0	 0.6029237495360995	 3098.3497430659554	 0.25790690700213775	  5	                0.86	                 0.1	  4
152	0.0	 0.3943747897052509	 3349.1832865207352	 0.29501313700167453	  9	                0.46	                0.12	  4
153	0.0	0.41475359018063174	 3089.4526298622427	 0.22400130623207712	  6	                0.88	                0.08	  1
154	0.0	 0.4781068042711599	 2843.6999529359114	  0.2874047432191706	 10	                0.46	                0.08	  0
155	0.0	 0.6392236810384544	 2898.2709229322672	 0.06681367577325772	 10	                0.88	                0.08	  4
156	0.0	 0.6585586100593492	  3132.084378011611	 0.08907671359596532	  9	                0.92	                0.08	  4
157	0.0	 0.6016370063350159	   3533.28787653851	 0.10262225128066038	 12	                0.76	                0.06	  6
158	0.0	 0.6263396347480509	 3572.1297365941277	0.050789335184643486	 10	                0.16	                0.08	  3
159	0.0	  0.651037204000432	   3536.42448221876	 0.03553981848955635	  8	                0.92	                0.08	  4
160	0.0	 0.5687809534535874	 3502.4347643920855	 0.10408772230399042	 12	                0.92	                 0.1	  5
161	0.0	 0.6697637777780323	  4207.750689638828	 0.05844937525091878	  6	                0.18	                 0.1	  3
162	0.0	 0.5343503888371193	  3958.702570326155	 0.10948713712554063	 12	                0.64	                 0.1	  4
163	0.0	  0.696743513520292	  4937.852676554102	 0.12525264670852787	  7	                0.64	                0.12	  5
164	0.0	  0.762003459766311	  4775.750487009338	 0.11461012767380256	  3	                0.64	                0.14	  2
165	0.0	 0.7530530189970812	  4627.466034363512	 0.10364683489202008	  4	                0.64	                0.12	  2
166	0.0	 0.6684014097214909	  4224.140781942859	 0.09674848523950247	  8	                0.64	                 0.1	  5
167	0.0	 0.6933763220249078	 3922.1503572961933	 0.06900323607588349	  5	                0.56	                0.14	  2
168	0.0	  0.639425950925334	  4230.257072611882	 0.06826514960041319	  7	                0.56	                0.16	  2
169	0.0	 0.6623821379355277	 3785.0336479157863	0.051041455923903196	  6	                0.56	                0.14	  4
170	0.0	 0.5637160605926538	 3343.8545526941825	 0.07174643653513574	  6	                0.56	                0.16	  4
171	0.0	 0.6362362790420009	 3292.0172869579937	 0.08906273814371488	  8	                0.36	                0.08	  1
172	0.0	 0.6008335596070288	 3125.9524705119684	 0.06745310411975461	  9	                0.66	                0.12	  1
173	0.0	 0.2662890198743821	  3530.687242779928	 0.08129153146370814	  6	                0.66	                0.18	  3
174	0.0	0.35336468314173414	  3614.378337864318	  0.0750018532728541	  4	                0.66	                0.18	  1
175	0.0	 0.5256708754019852	 3436.6982595354903	 0.11940186518489682	  8	                0.66	                0.22	  2
176	0.0	 0.6880474754665127	 3069.3882336453476	0.020000000000000007	  8	                0.42	                 0.1	  2
177	0.0	 0.6733576332679124	 3203.5768430563094	 0.08627431874418004	  6	                0.16	                0.08	  1
178	0.0	 0.7811280150732834	 2818.4088420709604	0.025172590686700032	  7	                0.98	                0.08	  2
179	0.0	 0.5994162889760424	  2917.855828236941	 0.03504994160462031	 13	                0.16	                 0.1	  5
180	0.0	 0.5236144734197598	 2768.3375992669808	0.024496302197082532	  8	                0.98	                0.06	  4
181	0.0	  0.791699435003789	 2688.9450961215157	0.023744466506365757	  4	                 0.6	                0.08	  1
182	0.0	 0.4139616100574277	   3033.94390800576	 0.08471762247184811	 12	                0.74	                0.06	  3
183	0.0	 0.7037452415554397	   2745.89635947553	0.026912653653117232	  5	                0.76	                0.08	  2
184	0.0	 0.5737332873862896	  2635.458439192037	 0.16379119867651926	 11	                0.22	                 0.1	  4
185	0.0	 0.6729373297743273	  2672.893593429326	 0.11798076255181292	  8	                0.76	                0.08	  2
186	0.0	 0.6187122775381352	  2417.322815016081	 0.09468838700098535	 12	                0.94	                0.08	  4
187	0.0	 0.5521845884377662	   2623.12477215301	 0.27384382046691796	  9	                0.12	                 0.1	  5
188	0.0	 0.6304565528990191	 2545.9796093947534	   0.215263287858231	 14	                0.12	                0.14	  1
189	0.0	 0.7030132212585731	  2510.673409977991	 0.03318555163683541	  8	                0.28	                 0.1	  2
190	0.0	 0.6290106103801878	   2507.89736313685	0.026227356736583652	 13	                0.96	                 0.1	  3
191	0.0	  0.654074720893762	 2697.1151107960377	0.029631806729359087	 11	                0.96	                0.08	  4
192	0.0	 0.7525528520324426	  2330.992294469049	  0.0308264616845361	  7	                0.74	                0.08	  2
193	0.0	 0.5788625057754893	 2512.7259939299856	 0.07281657452519957	 15	                 0.0	                0.08	  3
194	0.0	 0.6686205143496058	  2411.967643327931	 0.06377365573059093	  9	                 0.0	                0.08	  5
195	0.0	 0.6933457674546237	  2197.268133057721	 0.04855694814496792	  6	                0.46	                0.06	  2
196	0.0	 0.5689410008159441	  2068.216925644189	 0.03830936622805762	 11	                 0.7	                0.08	  3
197	0.0	 0.7447342464723832	 1719.4435702072576	 0.04807990852424832	  4	                 0.7	                0.08	  2
198	0.0	 0.6096421465617883	 2166.8599356247983	0.045157097676983816	 13	                 0.7	                0.14	  4
199	0.0	   0.61694992666239	 2502.5905655065494	0.038795647393535616	  9	                 0.5	                0.08	  2
200	0.0	 0.7301593264059889	 2609.0845586840733	 0.03781353433777351	  7	                0.42	                 0.1	  2
