# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# bankruptcy
 34	                  7	                 11	                  6	                  9	                  8	                  6	                 13	                 15	                 15	                 11	                  8	                 11	                  9	                 10	                 11	                 14	                  8	                 11	                 10	                  8	                  9	                  6	                 12	                 10	                 12	                 11	                  5	                 10	                 21	                 11	                  8	                  9	                 13	                 10	                  7	                  6	                  5	                  7	                  4	                 10	                 15	                 13	                 12	                  8	                  7	                 16	                 14	                  6	                  8	                 15
 35	                  9	                  5	                  8	                  9	                 14	                 10	                 11	                 12	                  9	                  8	                 12	                 15	                  8	                 14	                  8	                  9	                 14	                  6	                  7	                  4	                  7	                 14	                 11	                 11	                  5	                  5	                  4	                  7	                 13	                 11	                  7	                 13	                 12	                 10	                  6	                  7	                 13	                 10	                 14	                 11	                 14	                 10	                  7	                  9	                  8	                  7	                  8	                  8	                  8	                  5
 36	                  9	                  8	                 10	                 13	                 11	                  8	                  8	                 15	                 14	                 17	                  8	                 12	                 12	                 10	                  8	                  7	                 12	                 13	                  5	                 10	                  7	                 14	                  9	                 11	                 12	                  7	                  8	                 11	                 17	                 11	                 11	                  6	                  7	                  6	                  7	                 10	                 13	                 10	                  7	                  6	                  7	                  9	                 11	                 14	                 10	                  6	                 13	                 12	                 12	                 18
 37	                  9	                 11	                  8	                  4	                 15	                  8	                 10	                 13	                 14	                 12	                  8	                 11	                  9	                  8	                  7	                 10	                  6	                 11	                 14	                 11	                  7	                 10	                 12	                  6	                 11	                 15	                  9	                  8	                 13	                 10	                  8	                 10	                  7	                  6	                  9	                 11	                  7	                 18	                  7	                 10	                 11	                  8	                 10	                  8	                  9	                 11	                 11	                  7	                 15	                 10
 38	                  4	                 10	                  9	                  4	                  5	                  5	                  9	                 11	                 11	                  6	                  6	                 18	                  8	                  6	                 10	                  9	                  9	                  5	                  4	                 11	                  8	                  9	                  8	                  7	                 12	                  7	                  8	                  8	                 11	                 10	                 10	                  9	                 10	                 11	                  6	                  9	                 15	                 11	                 12	                  7	                 11	                 12	                 13	                  7	                 10	                 10	                 12	                 11	                 12	                  4
 39	                 11	                  6	                 12	                 10	                  8	                  8	                  5	                  8	                  9	                 10	                 11	                  9	                 10	                  8	                  9	                 12	                  7	                  7	                  8	                  9	                  8	                  9	                 11	                 15	                  8	                  9	                 12	                 13	                 15	                 13	                  9	                 10	                  7	                 11	                  7	                 13	                 10	                  7	                  8	                  6	                 10	                 13	                  8	                  9	                  6	                  8	                 14	                  7	                  7	                  9
 40	                 11	                 12	                  4	                  6	                  9	                 12	                  7	                  8	                  8	                  8	                 14	                 14	                  8	                  6	                 12	                  7	                  8	                 12	                 10	                 10	                 10	                 15	                  6	                  7	                 12	                  9	                 13	                  7	                 16	                 13	                 10	                 15	                  7	                  5	                 11	                 15	                 10	                  9	                  5	                 10	                  6	                  9	                 15	                 18	                  9	                 10	                  7	                  5	                 11	                 11
 41	                 10	                  8	                  5	                  9	                 10	                  8	                  9	                 16	                  8	                 13	                  6	                 13	                  7	                  6	                 10	                  7	                 11	                  6	                 12	                  5	                  4	                 11	                 11	                  8	                  6	                 16	                  3	                 10	                  8	                 10	                  9	                 10	                 12	                  7	                  5	                 12	                 14	                  8	                 11	                  6	                 11	                 10	                 10	                  5	                 10	                 16	                  6	                  9	                 14	                  3
 42	                  9	                  8	                  9	                  4	                 14	                  8	                  5	                 10	                 13	                 12	                  7	                  7	                  8	                 11	                  6	                 12	                  9	                  7	                  9	                  7	                 10	                 10	                  9	                 10	                 15	                  7	                  9	                 10	                 10	                  8	                 13	                 10	                 12	                 11	                  6	                  7	                 10	                  9	                 15	                  7	                 12	                 12	                 12	                 17	                  8	                  6	                 10	                  5	                 11	                  7
 43	                 10	                 16	                  8	                 10	                 11	                 11	                 16	                  9	                  9	                  6	                 13	                 10	                 11	                  5	                  7	                 11	                  6	                  7	                 10	                  9	                 17	                  4	                  7	                 12	                 10	                  9	                  7	                 10	                 10	                  7	                  6	                 14	                 13	                  6	                  4	                  9	                 11	                  7	                  6	                  6	                  5	                  4	                  9	                  6	                 11	                 10	                 13	                 12	                  9	                  8
 44	                  9	                 10	                  8	                  8	                 10	                  6	                 14	                 13	                  8	                  9	                 10	                  4	                  8	                 12	                  9	                 13	                 12	                 13	                  4	                  5	                 10	                 10	                 15	                  7	                 11	                 12	                  6	                 11	                  8	                 14	                 13	                  8	                 13	                  5	                 13	                  9	                  9	                  4	                 10	                  5	                 15	                 11	                  8	                 14	                 11	                  9	                 10	                 11	                 11	                 10
